Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
Riglos,2018,18704,Gran Malbec 2018,4.1,210,28.15643652540629,Tupungato,Malbec,False,Argentina,Red,ARG
Matías Riccitelli,2018,1637602,The Apple Doesn't Fall Far From The Tree Malbec 2018,4.0,196,21.68,Mendoza,Malbec,False,Argentina,Red,ARG
Riglos,2016,18705,Gran Cabernet Sauvignon 2016,4.1,210,23.95,Tupungato,Malbec,False,Argentina,Red,ARG
Crios,2018,1263840,Malbec 2018,3.7,3023,9.45,Agrelo,Malbec,False,Argentina,Red,ARG
Elsa Bianchi,2020,1721646,Malbec 2020,3.4,491,9.5,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Vistalba,2018,84727,Corte B 2018,4.1,439,32.65,Mendoza,Malbec,False,Argentina,Red,ARG
Pascual Toso,2014,5296485,Barrancas Toso Red 2014,3.6,72,12.5,Mendoza,Malbec,False,Argentina,Red,ARG
BenMarco,2019,86732,Expresivo 2019,4.1,212,33.33,Gualtallary,Malbec,False,Argentina,Red,ARG
Luca,2019,74338,Old Vine Malbec 2019,4.4,154,22.4,Valle de Uco,Malbec,False,Argentina,Red,ARG
Bodega Noemìa,2018,77793,A Lisa 2018,4.0,401,22.89,Río Negro,Malbec,False,Argentina,Red,ARG
Alta Vista,2018,65994,Estate Malbec (Premium) 2018,3.8,1180,18.0,Mendoza,Malbec,False,Argentina,Red,ARG
Achaval-Ferrer,2013,77558,Finca Bella Vista Malbec 2013,4.5,1161,94.9,Perdriel,Malbec,False,Argentina,Red,ARG
The Beefsteak Club,2020,2927144,Beef & Liberty Malbec 2020,3.7,472,6.69,Mendoza,Malbec,False,Argentina,Red,ARG
François Lurton,2014,13610,Chacayes 2014,4.2,205,70.0,Mendoza,Malbec,False,Argentina,Red,ARG
Zuccardi,2016,1262193,Emma Bonarda 2016,4.0,510,30.0,Mendoza,Malbec,False,Argentina,Red,ARG
